model,MAE,RMSE,R2,split
Baseline Naïve,2414.3629842180776,3466.7036594658334,-0.7955793487242937,train
Baseline_RollMean_7,2006.0102480016394,2615.506732890909,-0.02207519569453531,train
Baseline Naïve,2172.1470588235293,3097.8136379217713,-0.7562186249176919,test
Baseline_RollMean_7,1867.831092436975,2423.497205197778,-0.07486284367473783,test
LinearRegression,747.9310386256554,954.0833176078593,0.8326481493221509,test
RandomForest,387.9614912280702,632.9801792150316,0.9263389106788887,test
